Number,Title,URL,Duration,Duration (Minutes),Publish Date,Description
104,104: Arya,https://darknetdiaries.com/episode/104,4961,82.7,"Tue, 09 Nov 2021","Arya Ebrahami has had quite a personal relationship with darknet 
marketplaces. In this episode you’ll hear about his adventures on tor. 
Arya’s current project is https://lofi-defi.com. Sponsors Support for this 
show comes from Linode. Linode supplies you with virtual servers. Visit 
linode.com/darknet and get a special offer. Support for this show comes 
from Blinkist. They offer thousands of condensed non-fiction books, so you 
can get through books in about 15 minutes. Check out Blinkist.com/DARKNET 
to start your 7 day free trial and get 25% off when you sign up. View all 
active sponsors. Sources 
https://www.nbcwashington.com/news/local/27-arrested-in-prince-william-county-narcotics-investigation/58441/ 
https://patch.com/virginia/manassas/undercover-narcotics-operation-nets-27-arrrests-xanax-distribution-ring"
103,103: Cloud Hopper,https://darknetdiaries.com/episode/103,3325,55.4,"Tue, 26 Oct 2021","Fabio Viggiani is an incident responder. In this episode he talks about the 
story when one of his clients were breached. Sponsors Support for this 
show, and for stretched security teams, comes from SOC.OS. Too many 
security alerts means alert fatigue for under-resourced SecOps teams. 
Traditional tools aren’t solving the problem. SOC.OS is the lightweight, 
cost-effective, and low-maintenance solution for your team. Centralise, 
enrich, and correlate your security alerts into manageable, prioritised 
clusters. Get started with an extended 3-month free trial at 
https://socos.io/darknet. Support for this show comes from IT Pro TV. Get 
65 hours of free training by visiting ITPro.tv/darknet. And use promo code 
DARKNET. Sources 
 https://www.reuters.com/investigates/special-report/china-cyber-cloudhopper 
 https://www.reuters.com/article/us-china-cyber-cloudhopper-companies-exc-idUSKCN1TR1D4 
 https://www.fbi.gov/wanted/cyber/apt-10-group 
 https://www.youtube.com/watch?v=277A09ON7mY 
 https://www.wsj.com/articles/ghosts-in-the-clouds-inside-chinas-major-corporate-hack-11577729061 
 https://www.technologyreview.com/2018/12/20/239760/chinese-hackers-allegedly-stole-data-of-more-than-100000-us-navy-personnel/"
102,102: Money Maker,https://darknetdiaries.com/episode/102,4961,82.7,"Tue, 12 Oct 2021","Frank Bourassa had an idea. He was going to make money. Literally. Listen 
to the story of a master counterfeiter."
101,101: Lotería,https://darknetdiaries.com/episode/101,4432,73.9,"Tue, 28 Sep 2021","In 2014 the Puerto Rico Lottery was mysteriously losing money. Listen to 
this never before told story about what happened and who did it. Sponsors 
Support for this show comes from IT Pro TV. Get 65 hours of free training 
by visiting ITPro.tv/darknet. And use promo code DARKNET. Support for this 
show comes from Linode. Linode supplies you with virtual servers. Visit 
linode.com/darknet and get a special offer. Sources 
https://en.wikipedia.org/wiki/Puerto_Rico_Lottery 
https://www.justice.gov/usao-pr/pr/10-individuals-indicted-drug-trafficking-and-money-laundering 
https://www.dea.gov/press-releases/2014/07/22/caribbean-corridor-strike-force-arrests-10-individuals-indicted-drug 
https://casetext.com/case/united-states-v-delfin-robles-alvarez-7"
100,100: NSO,https://darknetdiaries.com/episode/100,4345,72.4,"Tue, 31 Aug 2021","The NSO Group creates a spyware called Pegasus which gives someone access 
to the data on a mobile phone. They sell this spyware to government 
agencies around the world. How is it used and what kind of company is the 
NSO Group? Thanks to John Scott-Railton and Citizen Lab for investigating 
this and sharing their research. Sponsors Support for this show comes from 
Detectify. Try their web vulnerability scanner free. Go to 
https://detectify.com/?utm_source=podcast&utm_medium=referral&utm_campaign=DARKNET 
Support for this show comes from Ping Identity, champions of identity for 
the global enterprise. Give your users a loveable login solution. Visit 
www.pingidentity.com/. Support for this show comes from Blinkist. They 
offer thousands of condensed non-fiction books, so you can get through 
books in about 15 minutes. Check out Blinkist.com/DARKNET to start your 7 
day free trial and get 25% off when you sign up. For a full list of sources 
used in this episode and complete transcripts visit 
https://darknetdiaries.com."
99,99: The Spy,https://darknetdiaries.com/episode/99,4474,74.6,"Tue, 17 Aug 2021","Igor works as a private investigator in NYC. He’s often sitting in cars 
keeping a distant eye on someone with binoculars. Or following someone 
through the busy streets of New York. In this episode we hear about a time 
when Igor was on a case but sensed that something wasn’t right. Sponsors 
Support for this show comes from Exabeam. Exabeam lets security teams see 
what traditional tools can’t, with automated threat detection and triage, 
complete visibility across the entire IT environment and advanced 
behavioral analytics that distinguishes real threats from perceived ones, 
so security teams stay ahead and businesses keep moving — without fear of 
the unknown. When the security odds are stacked against you, outsmart them 
from the start with Exabeam. Learn more at https://exabeam.com/DD. Support 
for this show comes from Blinkist. They offer thousands of condensed 
non-fiction books, so you can get through books in about 15 minutes. Check 
out Blinkist.com/DARKNET to start your 7 day free trial and get 25% off 
when you sign up. View all active sponsors. Sources Article: The Case of 
the Bumbling Spy Podcast: The Catch and Kill Podcast with Ronan Farrow"
98,98: Zero Day Brokers,https://darknetdiaries.com/episode/98,3193,53.2,"Tue, 03 Aug 2021","Zero day brokers are people who make or sell malware that’s sold to people 
who will use that malware to exploit people. It’s a strange and mysterious 
world that not many people know a lot about. Nicole Perlroth, who is a 
cybersecurity reporter for the NY Times, dove in head first which resulted 
in her writing a whole book on it. Affiliate link for book: This is How 
They Tell Me The World Ends 
(https://www.amazon.com/gp/product/1635576059/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1635576059&linkCode=as2&tag=tunn01-20&linkId=0aa8c966d98b49a7927bfc29aac76bbe) 
Audiobook deal: Try Audible Premium Plus and Get Up to Two Free Audiobooks 
(https://www.amazon.com/Audible-Free-Trial-Digital-Membership/dp/B00NB86OYE/?ref_=assoc_tag_ph_1485906643682&_encoding=UTF8&camp=1789&creative=9325&linkCode=pf4&tag=tunn01-20&linkId=31042b955d5e6d639488dc084711d033) 
Sponsors Support for this show comes from IT Pro TV. Get 65 hours of free 
training by visiting ITPro.tv/darknet. And use promo code DARKNET. Support 
for this show comes from Privacy.com. Privacy allows you to create 
anonymous debit cards instantly to use for online shopping. 
Visit privacy.com/darknet to get a special offer. View all active sponsors. 
Sources Nicole’s Book: This is How They Tell Me the World Ends 
https://www.nytimes.com/2013/01/31/technology/chinese-hackers-infiltrate-new-york-times-computers.html"
97,97: The Pizza Problem,https://darknetdiaries.com/episode/97,2899,48.3,"Tue, 20 Jul 2021","What if someone wanted to own your Instagram account? Not just control it, 
but make it totally theirs. This episode tells the story of how someone 
tried to steal an Instagram account from someone. Sponsors Support for this 
show comes from Linode. Linode supplies you with virtual servers. 
Visit linode.com/darknet and get a special offer. Support for this show 
comes from Blinkist. They offer thousands of condensed non-fiction books, 
so you can get through books in about 15 minutes. Check 
out Blinkist.com/DARKNET to start your 7 day free trial and get 25% off 
when you sign up. View all active sponsors. Sources Vid: The $5 Million 
Phone Hack "True Life Crime"
96,96: The Police Station Incident,https://darknetdiaries.com/episode/96,3386,56.4,"Tue, 06 Jul 2021","Nicole Beckwith wears a lot of hats. She’s a programmer, incident 
responder, but also a cop and a task force officer with the Secret Service. 
In this episode she tells a story which involves all of these roles. 
https://twitter.com/NicoleBeckwith Sponsors Support for this show comes 
from IT Pro TV. Get 65 hours of free training by visiting ITPro.tv/darknet. 
And use promo code DARKNET. Support for this show comes from Exabeam. 
Exabeam lets security teams see what traditional tools can’t, with 
automated threat detection and triage, complete visibility across the 
entire IT environment and advanced behavioral analytics that distinguishes 
real threats from perceived ones, so security teams stay ahead and 
businesses keep moving — without fear of the unknown. When the security 
odds are stacked against you, outsmart them from the start with Exabeam. 
Learn more at https://exabeam.com/DD. View all active sponsors. Sources 
https://www.secjuice.com/unusual-journeys-nicole-beckwith/ Talk from 
Nicole: Mind Hacks – Psychological profiling, and mental health in OSINT 
investigations Talk from Nicole: Who’s guarding the gateway?"
95,95: Jon & Brian's Big Adventure,https://darknetdiaries.com/episode/95,4631,77.2,"Tue, 22 Jun 2021","Jon and Brian are penetration testers who both worked at a place 
called RedTeam Security. They’re paid to break into buildings and hack into 
networks to test the security of those buildings. In this episode they 
bring us a story of how they prepare and execute a mission like this. But 
even with all the preparation, something still goes terribly wrong. 
Sponsors Support for this show comes from IT Pro TV. Get 65 hours of free 
training by visiting ITPro.tv/darknet. And use promo code DARKNET. Support 
for this show comes from Ping Identity, champions of identity for the 
global enterprise. Give your users a loveable login solution. 
Visit www.pingidentity.com/. View all active sponsors. Sources Video: Jon 
and Brian on ABC Nightline Video: RedTeam Security breaks into a power 
station https://www.redteamsecure.com/"
94,94: Mariposa,https://darknetdiaries.com/episode/94,2828,47.1,"Tue, 08 Jun 2021","Chris Davis has been stopping IT security threats for decades. He’s 
currently running the company Hyas that he started. In this episode he 
tells a few tales of some threats that he helped stop. Sponsors Support for 
this show comes from Exabeam. Exabeam lets security teams see what 
traditional tools can’t, with automated threat detection and triage, 
complete visibility across the entire IT environment and advanced 
behavioral analytics that distinguishes real threats from perceived ones, 
so security teams stay ahead and businesses keep moving — without fear of 
the unknown. Learn more by visiting exabeam.com/dd. Support for this show 
comes from Blinkist. They offer thousands of condensed non-fiction books, 
so you can get through books in about 15 minutes. Check 
out Blinkist.com/DARKNET to start your 7 day free trial and get 25% off 
when you sign up. View all active sponsors. Sources 
https://www.zdnet.com/article/hacker-curador-pleads-guilty-to-credit-card-theft/ 
https://www.pbs.org/wgbh/pages/frontline/shows/hackers/ 
https://archive.org/details/frontline_202009/Frontline-+Hackers/VIDEO_TS/VTS_01_1.VOB 
https://defintel.com/docs/Mariposa_Analysis.pdf 
https://krebsonsecurity.com/2020/03/french-firms-rocked-by-kasbah-hacker/"
93,93: Kik,https://darknetdiaries.com/episode/93,5698,95.0,"Tue, 25 May 2021","Kik is a wildly popular chat app. Their website says that 1 in 3 American 
teenagers use Kik. But something dark is brewing on Kik."
92,92: The Pirate Bay,https://darknetdiaries.com/episode/92,6416,106.9,"Tue, 11 May 2021","The Pirate Bay is a website, a search engine, which has an index of torrent 
files. A lot of copyrighted material is listed on the site, but the site 
doesn’t store any of the copyrighted material. It just points the user to 
where you can download it from. So for a while The Pirate Bay has been the 
largest places you can find pirated movies, music, games, and apps. But 
this site first came up 2003. And is still up and operation now, 18 years 
later! You would think someone would shut this place down by now. How does 
the biggest source for copyrighted material stay up and online for that 
long? Listen to this episode to find out. Sponsors Support for this show 
comes from Linode. Linode supplies you with virtual servers. 
Visit linode.com/darknet and get a special offer. Support for this show 
comes from Blinkist. They offer thousands of condensed non-fiction books, 
so you can get through books in about 15 minutes. Check 
out Blinkist.com/DARKNET to start your 7 day free trial and get 25% off 
when you sign up. View all active sponsors."
91,91: webjedi,https://darknetdiaries.com/episode/91,3592,59.9,"Tue, 27 Apr 2021","What happens when an unauthorized intruder gets into the network of a major 
bank? Amelie Koran aka webjedi was there for one of these intrusions and 
tells us the story of what happened. You can find more talks from Amélie at 
her website webjedi.net. Sponsors Support for this show comes from IT Pro 
TV. Get 65 hours of free training by visiting ITPro.tv/darknet. And use 
promo code DARKNET25. This podcast is sponsored by Navisite. Accelerate IT 
transformation to respond to new demands, lower costs and prepare for 
whatever comes next. Visit Navisite.com/go. View all active sponsors. 
Sources https://www.foxnews.com/story/0,2933,435681,00.html 
https://w2.darkreading.com/risk-management/world-bank-(allegedly)-hacked/d/d-id/1072857 
https://www.washingtonpost.com/nation/2020/05/18/missionary-pilot-death-coronavirus/ 
https://webjedi.net/ CLAIM=8f61b1a2cab60fab354cc5b111ea154705b363d3=CLAIM"
90,90: Jenny,https://darknetdiaries.com/episode/90,4337,72.3,"Tue, 13 Apr 2021","Meet Jenny Radcliffe, the People Hacker. She’s a social engineer and 
physical penetration tester. Which means she gets paid to break into 
buildings and test their security. In this episode she tells us a few 
stories of some penetration testing jobs she’s done. Sponsors Support for 
this show comes from Blinkist. They offer thousands of condensed 
non-fiction books, so you can get through books in about 15 minutes. Check 
out Blinkist.com/DARKNET to start your 7 day free trial and get 25% off 
when you sign up. This podcast is sponsored by Navisite. Accelerate IT 
transformation to respond to new demands, lower costs and prepare for 
whatever comes next. Visit Navisite.com/go. View all active sponsors. 
Sources humanfactorsecurity.co.uk"
89,89: Cybereason - Molerats in the Cloud,https://darknetdiaries.com/episode/89,3575,59.6,"Tue, 06 Apr 2021","The threat research team at Cybereason uncovered an interesting piece of 
malware. Studied it and tracked it. Which lead them to believe they were 
dealing with a threat actor known as Molerats.  Sponsors This episode is 
sponsored by Cybereason. Cybereason reverses the attacker’s advantage and 
puts the power back in your hands. Their future-ready attack platform gives 
defenders the wisdom to uncover, understand, and piece together multiple 
threats. And the precision focus to end cyberattacks instantly – on 
computers, mobile devices, servers, and the cloud. They do all this through 
a variety of tools they’ve developed such as antivirus software, endpoint 
monitoring, and mobile threat detection tools. They can give you the power 
to do it yourself, or they can do all the monitoring and respond to threats 
in your environment for you. Or you can call them after an incident to get 
help cleaning up. If you want to monitor your network for threats, check 
out what Cybereason can do for you. Cybereason. End cyber attacks. From 
endpoints to everywhere. Learn more at Cybereason.com/darknet. View all 
active sponsors. Sources 
https://www.cybereason.com/hubfs/dam/collateral/reports/Molerats-in-the-Cloud-New-Malware-Arsenal-Abuses-Cloud-Platforms-in-Middle-East-Espionage-Campaign.pdf 
https://malpedia.caad.fkie.fraunhofer.de/actor/molerats 
https://www.fireeye.com/blog/threat-research/2013/08/operation-molerats-middle-east-cyber-attacks-using-poison-ivy.html"
88,88: Victor,https://darknetdiaries.com/episode/88,2734,45.6,"Tue, 30 Mar 2021","Victor looks for vulnerabilities on the web and reports them responsibly. 
This is the story about discloser number 5780. Listen to episodes 86, and 
87 before this one to be caught up on the story leading up to this. 
Sponsors This podcast is sponsored by Navisite. Accelerate IT 
transformation to respond to new demands, lower costs and prepare for 
whatever comes next. Visit Navisite.com/go. This podcast is sponsored by 
the JSCM Group. They have a service called ClosedPort: Scan, and it’s is a 
monthly Penetration Test performed by Cyber Security Experts. Contact JSCM 
Group today at jscmgroup.com/darknet. Support for this show comes from IT 
Pro TV. Get 65 hours of free training by visiting ITPro.tv/darknet. And use 
promo code DARKNET25."
87,87: Guild of the Grumpy Old Hackers,https://darknetdiaries.com/episode/87,3053,50.9,"Tue, 16 Mar 2021","In 2016 the LinkedIn breach data became available to the public. What the 
Guild of the Grumpy Old Hackers did with it then is quite the story. Listen 
to Victor, Edwin, and Mattijs tell their story. Sponsors Support for this 
show comes from Blinkist. They offer thousands of condensed non-fiction 
books, so you can get through books in about 15 minutes. Check 
out Blinkist.com/DARKNET to start your 7 day free trial and get 25% off 
when you sign up. Support for this show comes from Privacy.com. Privacy 
allows you to create anonymous debit cards instantly to use for online 
shopping. Visit privacy.com/darknet to get a special offer. View all active 
sponsors."
86,86: The LinkedIn Incident ,https://darknetdiaries.com/episode/86,3289,54.8,"Tue, 02 Mar 2021","In 2012, LinkedIn was the target of a data breach. A hacker got in and 
stole millions of user details. Username and password hashes were then sold 
to people willing to buy. This episode goes over the story of what 
happened. For a good password manager, check out LastPass. Sponsors Support 
for this episode comes from Quadrant Information Security. If you need a 
team of around the clock analysts to monitor for threat in your network 
using a custom SIEM, check out what Quadrant can do for you by 
visiting www.quadrantsec.com. Support for this show comes from Thinkst 
Canary. Their canaries attract malicious actors in your network and then 
send you an alert if someone tries to access them. Great early warning 
system for knowing when someone is snooping around where they shouldn’t be. 
Check them out at https://canary.tools. Support for this show comes 
from Linode. Linode supplies you with virtual servers. 
Visit linode.com/darknet and get a special offer."
85,85: Cam the Carder,https://darknetdiaries.com/episode/85,4774,79.6,"Tue, 16 Feb 2021","This is the story of Cam Harrison, aka “kilobit” and his rise and fall as a 
prominent carder. Sponsors Support for this show comes from IT Pro TV. Get 
65 hours of free training by visiting ITPro.tv/darknet. And use promo code 
DARKNET25. Support for this episode comes from Oracle for Startups. Oracle 
for Startups delivers enterprise cloud at a startup price tag, with free 
cloud credits and 70% off industry-leading cloud services to help you reel 
in the big fish—confidently. To learn more, visit Oracle.com/goto/darknet. 
View all active sponsors. Sources 
https://www.justice.gov/opa/pr/member-organized-cybercrime-ring-responsible-50-million-online-identity-theft-sentenced-115 
https://nakedsecurity.sophos.com/2014/11/14/carder-su-fraudster-jailed-for-9-years-and-ordered-to-pay-50-8m/ 
https://www.justice.gov/usao-nv/operation-open-market"
84,84: Jet-setters,https://darknetdiaries.com/episode/84,4520,75.3,"Tue, 02 Feb 2021","How bad is it if you post your boarding pass on Instagram? Our 
guest, “Alex” decides to figure this out for themself and has quite a story 
about what happened. You can read more from “Alex” on their 
blog https://mango.pdf.zone. We also hear from TProphet who’s here to give 
us some travel hacks to save tons on airfare when we start traveling again. 
You can learn more about TProphet’s travel hacks 
at https://seat31b.com or https://award.cat. Sponsors Support for this show 
comes from Blinkist. They offer thousands of condensed non-fiction books, 
so you can get through books in about 15 minutes. Check 
out Blinkist.com/DARKNET to start your 7 day free trial and get 25% off 
when you sign up. Support for this show comes from Tanium. With Tanium you 
can gain real-time security and operational data directly from your 
endpoints – along with the ability to take action on, and create reports 
from, that data – in just minutes, so that you and your teams can have the 
insight and capability necessary to accomplish the mission effectively. 
Learn more at https://federal.tanium.com. View all active sponsors. Sources 
https://mango.pdf.zone/finding-former-australian-prime-minister-tony-abbotts-passport-number-on-instagram 
https://seat31b.com https://award.cat"
83,83: NSA Cryptologists,https://darknetdiaries.com/episode/83,5156,85.9,"Tue, 19 Jan 2021","In this episode we interview two NSA Cryptologists, Marcus J. 
Carey and Jeff Man. We hear their story of how they got into the NSA and 
what they did while there. To hear more stories from Jeff tune into Paul’s 
Security Weekly where Jeff is a regular co-host and shares a lot of stories 
and insights. Marcus has written several books on security. They are Tribe 
of Hackers, Tribe of Hackers Blue Team, Tribe of Hackers Red Team, Tribe of 
Hackers Security Leaders, Think in Code, and a childrens book called Three 
Little Hackers. Also check out the Tribe of Hackers podcast to hear 
interviews with all these amazing people! Sponsors Support for this show 
comes from IT Pro TV. Get 65 hours of free training by 
visiting ITPro.tv/darknet. And use promo code DARKNET25. Support for this 
show comes from Linode. Linode supplies you with virtual servers. 
Visit linode.com/darknet and get a special offer. View all active sponsors."
82,82: Master of Pwn,https://darknetdiaries.com/episode/82,4044,67.4,"Tue, 05 Jan 2021","The Zero Day Initiative runs a hacker contest called Pwn2Own. The contest 
calls the best hackers in the world to demonstrate they can hack into 
software that should be secure. Like browsers, phones, and even cars. A lot 
of vulnerabilities are discovered from this event which means vendors must 
fix them. Whoever can demonstrate the most vulnerabilities will be crowned 
the “Master of Pwn”. Thanks to Dustin Childs and Brian Gorenc from ZDI to 
hear all about Pwn2Own. Thanks to Radek and Pedro for sharing their 
experiences of becoming the Masters of Pwn. Sponsors Support for this show 
comes from Blinkist. They offer thousands of condensed non-fiction books, 
so you can get through books in about 15 minutes. Check 
out Blinkist.com/DARKNET to start your 7 day free trial and get 25% off 
when you sign up. Support for this show comes from Kars 4 Kids. Donate your 
car today, this organization will sell to use for their charity. View all 
active sponsors. Sources 
https://www.forbes.com/profile/lee-junghoon/?sh=49ee055fc9c7 
https://www.cyberscoop.com/pwn2own-chinese-researchers-360-technologies-trend-micro/ 
https://twitter.com/BrendanEich/status/697889208380293120 
https://www.techtimes.com/articles/247111/20200130/google-bug-bounty-2019-became-the-highest-paid-google-hackers-reaching-6-5-million.htm"
